id;name;number_of_question;max_score;time;type_id;create_by;update_by;create_time;update_time
1;Unit Ball Dynamic;29170;58533;89828;82693;neural;Cambridgeshire;2022-04-25T18:22:42;2022-04-25T14:06:50
2;Pants;51556;4823;66051;77005;incubate deposit;turn-key;2022-04-25T16:51:14;2022-04-26T07:28:58
3;web-readiness back-end holistic;6684;77425;91019;47984;Nevada Small Operations;Producer;2022-04-25T18:46:52;2022-04-25T18:13:32
4;Account yellow;62604;34482;73324;84919;intranet Infrastructure;circuit Creek Health;2022-04-26T01:45:50;2022-04-26T02:50:51
5;Investment;79558;36952;92782;99082;alarm Direct;Generic Agent Directives;2022-04-25T20:07:38;2022-04-25T12:32:04
6;applications Cross-platform;36556;83734;75731;11673;Vermont Awesome approach;software Down-sized France;2022-04-26T04:45:04;2022-04-25T22:29:40
7;copying;66328;71250;86930;89917;bus;bandwidth copy quantifying;2022-04-25T09:58:15;2022-04-26T06:12:43
8;Forward Shirt Fresh;83353;37932;7812;49592;Account;Loan Supervisor JBOD;2022-04-25T09:21:43;2022-04-25T21:01:14
9;Creative Handcrafted withdrawal;53088;59148;31052;58216;Beauty Valley;Unbranded;2022-04-26T00:41:38;2022-04-25T07:42:30
10;Grocery Practical;45862;46589;30292;43509;Borders Account Directives;compressing Account panel;2022-04-25T18:09:20;2022-04-25T13:27:10
