id;content;image;reason;is_fall_question;exam_id
1;Brand;Kiribati Cambridgeshire incremental;withdrawal Glen Plastic;true;13848
2;Nepalese protocol;invoice;input group global;true;16672
3;sensor;well-modulated;online Response;false;66553
4;maroon Associate;1080p infrastructure;empowering Communications Sweden;true;39554
5;web-readiness facilitate orchid;back;red Account Way;true;64529
6;USB (customarily;Alabama 1080p payment;connect;false;69981
7;context-sensitive yellow Turnpike;Soap;compress;false;83259
8;Corporate Specialist;Washington Adaptive;Developer Engineer;false;68694
9;Tactics;transmitting Bedfordshire;sensor;true;1462
10;Dollar Buckinghamshire protocol;Soft indexing;Euro Direct;true;72665
